title,id,reviewlink
The Batman,1877830,https://www.imdb.com/title/tt1877830/reviews?ref_=tt_urv
Downton Abbey,1606375,https://www.imdb.com/title/tt1606375/reviews?ref_=tt_urv
Vikings,2306299,https://www.imdb.com/title/tt2306299/reviews?ref_=tt_urv
Lucifer,4052886,https://www.imdb.com/title/tt4052886/reviews?ref_=tt_urv
The Expanse,3230854,https://www.imdb.com/title/tt3230854/reviews?ref_=tt_urv
The Boys,1190634,https://www.imdb.com/title/tt1190634/reviews?ref_=tt_urv
Outlander,3006802,https://www.imdb.com/title/tt3006802/reviews?ref_=tt_urv
Only Murders in the Building,12851524,https://www.imdb.com/title/tt12851524/reviews?ref_=tt_urv
Riverdale,5420376,https://www.imdb.com/title/tt5420376/reviews?ref_=tt_urv
Belfast,12789558,https://www.imdb.com/title/tt12789558/reviews?ref_=tt_urv
Modern Family,1442437,https://www.imdb.com/title/tt1442437/reviews?ref_=tt_urv
Chicago Fire,2261391,https://www.imdb.com/title/tt2261391/reviews?ref_=tt_urv
Shameless,1586680,https://www.imdb.com/title/tt1586680/reviews?ref_=tt_urv
Better Call Saul,3032476,https://www.imdb.com/title/tt3032476/reviews?ref_=tt_urv
Masters of the Universe: Revelation,10826054,https://www.imdb.com/title/tt10826054/reviews?ref_=tt_urv
American Crime Story,2788432,https://www.imdb.com/title/tt2788432/reviews?ref_=tt_urv
Black Mirror,2085059,https://www.imdb.com/title/tt2085059/reviews?ref_=tt_urv
Shetland,2396135,https://www.imdb.com/title/tt2396135/reviews?ref_=tt_urv
365 Days,10886166,https://www.imdb.com/title/tt10886166/reviews?ref_=tt_urv
Fear the Walking Dead,3743822,https://www.imdb.com/title/tt3743822/reviews?ref_=tt_urv
The Princess Switch 3,14731142,https://www.imdb.com/title/tt14731142/reviews?ref_=tt_urv
La Brea,11640018,https://www.imdb.com/title/tt11640018/reviews?ref_=tt_urv
Old,10954652,https://www.imdb.com/title/tt10954652/reviews?ref_=tt_urv
The Crown,4786824,https://www.imdb.com/title/tt4786824/reviews?ref_=tt_urv
The Shawshank Redemption,0111161,https://www.imdb.com/title/tt0111161/reviews?ref_=tt_urv
Attack on Titan,2560140,https://www.imdb.com/title/tt2560140/reviews?ref_=tt_urv
The Rookie,7587890,https://www.imdb.com/title/tt7587890/reviews?ref_=tt_urv
F Is for Family,4326894,https://www.imdb.com/title/tt4326894/reviews?ref_=tt_urv
Sons of Anarchy,1124373,https://www.imdb.com/title/tt1124373/reviews?ref_=tt_urv
C'mon C'mon,10986222,https://www.imdb.com/title/tt10986222/reviews?ref_=tt_urv
Titanic,0120338,https://www.imdb.com/title/tt0120338/reviews?ref_=tt_urv
The Umbrella Academy,1312171,https://www.imdb.com/title/tt1312171/reviews?ref_=tt_urv
Love,3774694,https://www.imdb.com/title/tt3774694/reviews?ref_=tt_urv
ER,0108757,https://www.imdb.com/title/tt0108757/reviews?ref_=tt_urv
Blue Bloods,1595859,https://www.imdb.com/title/tt1595859/reviews?ref_=tt_urv
The King,7984766,https://www.imdb.com/title/tt7984766/reviews?ref_=tt_urv
Benedetta,6823148,https://www.imdb.com/title/tt6823148/reviews?ref_=tt_urv
Chicago P.D.,2805096,https://www.imdb.com/title/tt2805096/reviews?ref_=tt_urv
Gomorrah,2049116,https://www.imdb.com/title/tt2049116/reviews?ref_=tt_urv
